medcodeid	observations	originalreadcode	readcode	term	snomedctconceptid	snomedctdescriptionid	release	emiscodecategoryid	weight	height	bmi
253677014	200000000	22A	22A..00	Body weight	27113001	45352010		2	9		
100716012	100000000	22K	22K..00	Body mass index	60621009	100716012		2			9
253669010	100000000	229	229..00	Standing height	248333004	370729019		2		9	
451201014	10000000	66C-1	66C..11	Weight monitoring	307818003	451201014		1	9		
253848011	2000000	22K5	22K5.00	Body mass index 30+ - obesity	162864005	253848011		2			9
253844013	2000000	22K1	22K1.00	Normal body mass index	35425004	59104012		2			9
253847018	1000000	22K4	22K4.00	Body mass index index 25-29 - overweight	162863004	253847018		2	9		9
253845014	900000	22K2	22K2.00	Increased body mass index	48499001	80800016		2			9
453856012	300000	22K6	22K6.00	Body mass index less than 20	310252000	453856012		2			9
2474325012	300000	22K8	22K8.00	Body mass index 20-24 - normal	412768003	2474325012		2			9
252191014	300000	1622	1622.00	Weight increasing	161831008	252191014		27	9		
252192019	300000	1623	1623.00	Weight decreasing	161832001	252192019		27	9		
406169014	300000	1621	1621.00	Weight steady	271398006	406169014		27	9		
2160062010	200000	22K7	22K7.00	Body mass index 40+ - severely obese	408512008	2160062010		2			9
253688015	200000	22AZ	22AZ.00	O/E - weight NOS	27113001	45352010		2	9		
253846010	200000	22K3	22K3.00	Decreased body mass index	6497000	11777011		2			9
253676017	200000	229Z	229Z.00	O/E - height NOS	248333004	370729019		2		9	
411922013	100000	22A4-1	22A4.11	O/E - overweight	275947003	411922013		27	9		
280881000006115	100000	222A	222A.00	O/E - obese	162690006	253576010		27			9
857681000006117	90000	EGTONWE3		Weight reduction clinic	857681000006101	857681000006117		37	9		
253866018	90000	22Z	22Z..00	Height and weight	162879003	253866018		2	9	9	
253680010	90000	22A3	22A3.00	O/E - weight within 10% ideal	162766004	253680010		2	9		
1780175010	80000	22A7	22A7.00	Baseline weight	400967004	1780175010		2	9		
317236017	80000	R031	R031.00	[D]Abnormal weight gain	161833006	252194018		27	9		
252194018	80000	1624	1624.00	Abnormal weight gain	161833006	252194018		27	9		
402435016	80000	22A4	22A4.00	O/E - weight 10-20% over ideal	268915006	402435016		27	9		
217781000000116	70000	22A5	22A5.00	O/E - weight greater than 20% over ideal	268916007	402436015		27	9		
11905011000006114	60000	^ESCT1190501		O/E - weight	162763007	253677014		27	9		
11905141000006112	60000	^ESCT1190514		O/E - height	162755006	253669010		27		9	
317244017	60000	R0341	R034100	Failure to gain weight	36440009	60809012		32	9		
2159952010	30000	R0348	R034800	Underweight	248342006	370738017		32	9		
7879461000006116	30000	^ESCTWE787946		Weight	726527001	3450321013		31	9		
253687013	30000	22A6	22A6.00	O/E - Underweight	162769006	253687013		2	9		
253672015	30000	2293	2293.00	O/E -height within 10% average	162758008	253672015		2		9	
356960015	30000	22AA	22AA.00	Overweight	238131007	356960015		2	9		
1996951000006119	30000	EMISNQHE181		Height and weight measurement for National Child Measurement Programme	758931000000104	1674021000000118		2	9	9	
253576010	30000	22A5-1	22A5.11	O/E - obese	162690006	253576010		27			9
857321000006113	20000	EGTONMO1		Moderately obese	857321000006109	857321000006113		2			9
1750501000006114	20000	EMISNQCH68		Checking weight monitoring	1750501000006105	1750501000006114		37	9		
4553701000006115	20000	^ESCTBO455370		Body mass index 25-29 - overweight	162863004	2773979010		2	9		9
2350241000000116	20000	22KC	22KC.00	Obese class I (body mass index 30.0 - 34.9)	914721000000105	2350241000000116		2			9
857911000006118	20000	EGTONVE2		Very obese	857911000006102	857911000006118		2			9
11923361000006119	20000	^ESCT1192336		Finding of body mass index	301331008	442609010		2			9
2536041016	10000	1621-1	1621.11	Weight static	271398006	2536041016		27	9		
2350261000000115	10000	22KD	22KD.00	Obese class II (body mass index 35.0 - 39.9)	914731000000107	2350261000000115		2			9
59281000006111	10000	6878-1	6878.11	Weight screening	804271000000109	1798011000000116		1	9		
1900331000006113	10000	22KE	22KE.00	Obese class III (body mass index equal to or greater than 40.0)	914741000000103	2350281000000112		2			9
3484801000006114	9000	^ESCTBM348480		BMI - Body mass index	60621009	2164081012		2			9
1910921000006114	9000	EMISNQES11		Estimated height	1910921000006105	1910921000006114		2		9	
3315721000006119	9000	^ESCTBO331572		Body height	50373000	83914018		31		9	
1910901000006116	8000	EMISNQES10		Estimated weight	1910901000006100	1910901000006116		2	9		
253679012	7000	22A2	22A2.00	O/E -weight 10-20% below ideal	162765000	253679012		2	9		
1910911000006118	6000	EMISNQRE469		Reported weight	1910911000006102	1910911000006118		2	9		
1737991000000117	6000	1628	1628.00	Pattern of weight gain	449361003	2901932013		27	9		
406131000000117	6000	9N4v	9N4v.00	Did not attend weight monitoring clinic	248051000000100	406131000000117		37	9		
2316211000000111	6000	1629	1629.00	Unintentional weight gain	441361000124104	653951000124115		27	9		
1809441000006111	5000	EMISNQWE11		Weight change	248346009	370743012		27	9		
3203281000006116	5000	^ESCTNO320328		Normal weight	43664005	72805014		27	9		
923861000006112	4000	PCNQBO1		Body mass index	923861000006108	923861000006112		42			9
1910931000006112	3000	EMISNQRE470		Reported height	1910931000006108	1910931000006112		2		9	
910251000006110	3000	HNGNQRF70		[RFC] Overweight	910251000006106	910251000006110		12	9		
272551000006116	3000	22A1	22A1.00	O/E - weight > 20% below ideal	162764001	253678016		2	9		
6866991000006116	3000	^ESCTOB686699		Obese	414915002	2535064011		2			9
253673013	2000	2294	2294.00	O/E-height 10-20% over average	162759000	253673013		2		9	
284561000006119	2000	2292	2292.00	O/E - height 10-20% < average	162757003	253671010		2		9	
2196071000000116	2000	22KB	22KB.00	Baseline body mass index	846931000000101	2196071000000116		2			9
909921000006118	2000	HNGNQRF37		[RFC] Weight problem	909921000006102	909921000006118		12	9		
1849891000006112	2000	EMISNQOV6		Overweight child	1849891000006108	1849891000006112		2	9		
271181000006113	1000	2291	2291.00	O/E-height > 20% below average	162756007	253670011		2		9	
5529851000006116	1000	^ESCTHA552985		Has not grown in height	271817008	406786011		32		9	
908721000006111	1000	HNG0530		[RFC] Overweight/ underweight	908721000006107	908721000006111		12	9		
981741000006110	800	EMISCUN18		Underweight: adult BMI 18.5; child BMI 5th percentile; or less	981741000006106	981741000006110		27	9		9
272151000006114	700	2295	2295.00	O/E -height > 20% over average	162760005	253674019		2		9	
4150511000006113	600	^ESCTWE415051		Weight finding	107647005	202291010		31	9		
5524151000006112	600	^ESCTWE552415		Weight stable	271398006	406170010		27	9		
3087271000006119	500	^ESCTPO308727		Poor weight gain	36440009	1228649014		32	9		
2642891000006110	500	^ESCTWE264289		Weight gain	8943002	15766010		31	9		
3315711000006110	500	^ESCTBO331571		Body height measure	50373000	495662010		31		9	
982581000006118	400	EMISCWE5		Weight (Over)	982581000006102	982581000006118		27	9		
981731000006117	300	EMISCOV1		Overweight: adult BMI 25.0; child BMI 95th percentile; or more	981731000006101	981731000006117		27	9		9
982591000006115	300	EMISCWE6		Weight (Under)	982591000006104	982591000006115		27	9		
1753281000006110	300	66CM	66CM.00	Risk to health associated with overweight and obesity, at increased risk	755901000000101	1663271000000118		1	9		9
4553741000006118	300	^ESCTBM455374		BMI 30+ - obesity	162864005	2164216018		2			9
1753301000006114	200	66CP	66CP.00	Risk to health associated with overweight and obesity, at very high risk	755941000000103	1663351000000119		1	9		9
5998281000006119	200	^ESCTBM599828		BMI less than 20	310252000	2164663010		2			9
923831000006115	200	PCNQOE1		O/E - height	923831000006104	923831000006115		42		9	
5990011000006117	200	^ESCTNO599001		Normal height	309534003	452982012		31		9	
5526441000006112	200	^ESCTOB552644		Obese build	271590003	406434015		31			9
