medcode	readcode	clinevents	imevents	refevents	testevents	term	firstbuild	observations	eth16	eth5
12191	134B.00	29770	0	3	0	RACE: Caucasian	February 2009	29773	1. British	0. White
22467	9S1..00	627672	0	4	0	White	February 2009	627676	1. British	0. White
12446	9S10.00	2270053	0	21	3	White British	February 2009	2270077	1. British	0. White
26467	9S13.00	898851	0	14	0	White Scottish	February 2009	898865	1. British	0. White
26310	9S14.00	52806	0	0	0	Other white British ethnic group	February 2009	52806	1. British	0. White
12351	9i0..00	2178962	0	22	4	British or mixed British - ethnic category 2001 census	February 2009	2178988	1. British	0. White
98111	9i00.00	506957	0	9	2	White British - ethnic category 2001 census	December 2009	506968	1. British	0. White
12352	9i20.00	265467	0	3	0	English - ethnic category 2001 census	February 2009	265470	1. British	0. White
12436	9i21.00	109247	0	2	0	Scottish - ethnic category 2001 census	February 2009	109249	1. British	0. White
12681	9i22.00	59739	0	1	0	Welsh - ethnic category 2001 census	February 2009	59740	1. British	0. White
28887	9i23.00	240	0	0	0	Cornish - ethnic category 2001 census	February 2009	240	1. British	0. White
42294	9i24.00	35598	0	31	0	Northern Irish - ethnic category 2001 census	February 2009	35629	1. British	0. White
40102	9i25.00	109	0	0	0	Ulster Scots - ethnic category 2001 census	February 2009	109	1. British	0. White
110420	9t00.00	15761	0	0	0	White:Eng/Welsh/Scot/NI/Brit - England and Wales 2011 census	December 2015	15761	1. British	0. White
112899	9t10.00	1636	0	0	0	White - Northern Ireland ethnic category 2011 census	September 2018	1636	1. British	0. White
110432	9t20.00	22043	0	0	0	White: Scottish - Scotland ethnic category 2011 census	January 2016	22043	1. British	0. White
110694	9t21.00	108	0	0	0	White: other British - Scotland ethnic category 2011 census	March 2016	108	1. British	0. White
24837	9S11.00	49879	0	0	0	White Irish	February 2009	49879	2. Irish	0. White
24270	9SA9.00	2085	0	1	0	Irish (NMO)	February 2009	2086	2. Irish	0. White
12532	9i1..00	40625	0	0	0	Irish - ethnic category 2001 census	February 2009	40625	2. Irish	0. White
98213	9i10.00	6445	0	0	0	White Irish - ethnic category 2001 census	December 2009	6445	2. Irish	0. White
110556	9t01.00	121	0	0	0	White: Irish - England and Wales ethnic category 2011 census	February 2016	121	2. Irish	0. White
110687	9t22.00	19	0	0	0	White: Irish - Scotland ethnic category 2011 census	March 2016	19	2. Irish	0. White
12444	9S12.00	249096	0	3	0	Other white ethnic group	February 2009	249099	3. Other White	0. White
45947	9SAA.00	484	0	0	0	Greek/Greek Cypriot (NMO)	February 2009	484	3. Other White	0. White
45955	9SAA.11	882	0	1	0	Greek (NMO)	February 2009	883	3. Other White	0. White
47949	9SAA.12	486	0	0	0	Greek Cypriot (NMO)	February 2009	486	3. Other White	0. White
32066	9SAB.00	922	0	0	0	Turkish/Turkish Cypriot (NMO)	February 2009	922	3. Other White	0. White
32126	9SAB.11	2037	0	0	0	Turkish (NMO)	February 2009	2037	3. Other White	0. White
32069	9SAB.12	443	0	0	0	Turkish Cypriot (NMO)	February 2009	443	3. Other White	0. White
